City,Gender,Birth Year,Yearly Income - Person,FICO Score,Num Credit Cards,ID_2
San Jose,Female,1996,$85128,641,1,243
West Covina,Female,1938,$33483,698,5,90
Fremont,Male,1950,$68765,798,5,183
San Francisco,Female,1952,$88432,694,6,160
Compton,Male,1984,$26201,655,1,113
Piedmont,Female,1969,$53810,637,1,162
Fontana,Female,1956,$47242,704,6,193
Novato,Female,1986,$61846,722,4,20
Fresno,Female,1966,$36672,655,2,62
North Highlands,Male,1958,$29195,743,3,214
Rancho Cucamonga,Male,1972,$50163,761,4,126
Riverside,Male,1968,$37963,772,4,38
La Mirada,Male,1988,$50658,764,2,64
Richmond,Female,1958,$44583,717,5,97
Stockton,Male,1994,$64429,773,2,218
Culver City,Female,1993,$61104,721,4,206
San Ramon,Male,1987,$2365,769,3,58
Suisun City,Male,2001,$48909,740,2,198
El Cajon,Female,1996,$42711,717,1,177
Santa Barbara,Female,1937,$34903,630,1,33
Fair Oaks,Male,1992,$56164,761,2,188
Bakersfield,Male,1988,$38788,716,1,51
Santa Barbara,Female,1929,$48580,687,7,109
Alhambra,Male,1962,$40900,678,3,129
North Hollywood,Female,1972,$34441,725,4,36
Glendale,Female,1958,$20783,699,3,70
Lynwood,Male,1987,$27795,701,4,136
San Diego,Female,1995,$91237,594,1,4
Lincoln,Female,1980,$44506,849,3,173
Murrieta,Female,1969,$49076,715,4,60
San Diego,Male,1953,$74059,744,4,117
Roseville,Female,1984,$59872,752,4,205
Harbor City,Male,1961,$44924,717,3,149
San Francisco,Male,1976,$109687,675,1,235
Pomona,Male,1991,$32676,641,1,94
Los Angeles,Female,1991,$26513,604,1,190
Walnut Creek,Female,1967,$87030,646,5,23
North Hollywood,Male,1967,$31070,708,4,116
San Ramon,Male,1947,$2422,632,2,156
Trinidad,Female,1941,$22290,716,6,18
Inglewood,Male,1960,$28245,669,1,106
Turlock,Female,1951,$46487,635,3,236
San Diego,Male,1995,$71054,767,2,32
Placentia,Female,1952,$46945,682,4,55
Sherman Oaks,Female,1988,$105963,684,4,211
San Jose,Male,1989,$76820,819,2,120
Garden Grove,Female,1987,$33212,649,1,221
Santa Barbara,Female,1954,$35404,575,3,219
Camp Pendleton,Female,2001,$31644,480,1,207
Murphys,Male,1959,$33540,734,5,128
Lynwood,Male,1999,$27801,754,1,40
Los Angeles,Male,1963,$23231,726,3,158
Los Angeles,Female,1987,$25603,729,2,105
Garden Grove,Female,1985,$38081,811,4,104
Fontana,Female,1995,$28011,720,4,61
San Leandro,Male,1952,$30962,743,5,195
Fresno,Male,1965,$26696,683,5,3
Los Angeles,Female,1984,$23238,611,2,80
Carmel,Female,1996,$59479,688,1,140
Big Bear Lake,Female,1973,$31632,832,3,2
Inglewood,Male,2000,$32550,746,6,7
Antioch,Male,1977,$58584,563,2,34
Sunnyvale,Female,1960,$92785,786,6,208
San Jose,Female,1988,$51209,765,1,121
San Diego,Female,2000,$55854,782,1,197
Fontana,Female,1983,$28007,691,4,217
Moreno Valley,Female,1955,$30747,850,4,79
Chula Vista,Female,1968,$34540,793,5,213
Oxnard,Male,1995,$28703,560,1,127
Stockton,Male,1970,$29994,769,1,237
Elk Grove,Male,1967,$52904,680,4,73
Rialto,Female,1977,$29835,618,7,241
Manteca,Female,1964,$47643,764,8,5
Huntington Beach,Female,1975,$54981,737,1,154
Oxnard,Male,1997,$37058,680,2,11
Alhambra,Male,1956,$43180,764,5,179
Capistrano Beach,Female,1978,$56320,792,3,164
Baldwin Park,Female,1939,$29928,713,4,204
Dinuba,Male,1935,$17016,714,4,169
Lake Forest,Male,1964,$61793,767,4,92
Petaluma,Male,2002,$54547,751,1,88
Los Angeles,Male,1951,$11566,536,4,180
Sacramento,Male,1943,$51942,723,4,196
Lakeside,Female,1985,$46361,743,2,24
Ladera Ranch,Female,1968,$97845,836,4,14
Atherton,Female,1996,$307018,745,2,226
Stockton,Female,1995,$24648,600,1,115
Petaluma,Male,1989,$54537,765,4,222
Whittier,Female,1980,$51465,702,2,6
Canoga Park,Male,2002,$49084,577,3,84
Van Nuys,Male,1982,$43638,627,1,139
Oceanside,Female,1980,$44958,787,1,68
Anaheim,Female,1973,$33137,706,2,229
Novato,Female,1993,$61850,728,9,228
Calistoga,Male,1985,$43579,795,3,100
Redlands,Male,2001,$48561,752,1,47
Temple City,Female,1963,$44875,510,1,89
Richmond,Female,1979,$44585,684,5,1
San Jose,Female,1953,$52929,737,7,137
Mira Loma,Female,1967,$40470,691,5,227
San Francisco,Male,1952,$47213,789,5,119
Redding,Male,2000,$33816,635,1,242
Belmont,Male,2000,$95045,708,3,234
San Diego,Male,2001,$56579,705,2,187
San Fernando,Male,1977,$31772,734,4,132
Mira Loma,Female,1940,$15470,789,7,27
Sacramento,Male,1961,$31177,689,5,151
Los Angeles,Female,1976,$25207,685,1,159
Los Angeles,Female,1981,$27494,702,3,212
Sacramento,Male,1990,$63583,635,1,209
El Cajon,Female,1990,$42150,750,3,174
Fall River Mills,Female,1963,$27981,717,3,17
Poway,Female,1992,$74198,838,3,71
Fair Oaks,Female,1996,$56168,703,3,91
Perris,Male,2001,$29909,664,2,98
Perris,Male,1972,$32847,785,3,99
Perris,Female,1996,$32847,721,2,142
Fontana,Male,2001,$28006,703,2,0
Bakersfield,Female,2001,$41717,718,5,50
Fresno,Male,1952,$28357,628,2,74
Ventura,Female,1995,$52036,703,3,170
Fullerton,Female,1983,$52181,727,2,175
Ontario,Male,1958,$41904,655,4,143
Sacramento,Male,1978,$51854,737,2,186
Walnut Creek,Female,1935,$79870,609,2,239
Sacramento,Female,1970,$37401,737,4,30
Westminster,Female,1961,$39633,777,3,125
Fresno,Male,1995,$36672,739,2,232
Roseville,Female,1982,$58637,803,6,12
Carmel,Male,1981,$59482,688,4,57
San Marcos,Male,1991,$45021,689,1,122
Hawthorne,Male,1976,$39052,804,4,189
La Verne,Female,1966,$59696,787,5,15
Carmichael,Male,1997,$50525,701,2,95
Sylmar,Male,2002,$39778,702,1,185
San Diego,Female,1957,$28147,756,7,223
West Sacramento,Male,1975,$51454,698,4,102
Orange,Female,1996,$58893,666,3,157
Compton,Female,1962,$26664,709,4,238
Rescue,Male,1994,$58435,666,2,152
Anaheim,Male,1998,$33140,744,1,46
Chula Vista,Female,1945,$29130,720,5,96
Los Angeles,Female,2000,$27494,724,1,49
Compton,Female,1957,$26661,750,5,37
Glendora,Female,1998,$64630,751,2,130
San Rafael,Male,1965,$62837,850,3,199
Chula Vista,Male,1990,$40988,540,3,87
Corona,Male,1995,$57187,714,2,93
Rialto,Female,1927,$26546,689,6,216
Fremont,Male,1996,$68767,723,3,148
Chino,Female,1941,$39263,645,4,144
Walnut Creek,Female,1985,$87030,727,3,77
Ridgecrest,Female,2002,$45664,778,4,9
