City,Latitude,Longitude,Gender,Birth Year,Yearly Income - Person,FICO Score,Num Credit Cards,ID_2
Tecate,32.59,-116.58,Female,1993,$19069,658,1,10
Corona,33.9,-117.61,Male,1995,$57187,714,2,93
Yorba Linda,33.89,-117.78,Female,1950,$99825,685,4,165
North Fork,37.23,-119.49,Female,1985,$33934,622,3,192
Hemet,33.73,-117.05,Male,1999,$30882,807,3,31
Dinuba,36.52,-119.39,Female,1988,$26900,758,2,131
Rancho Cordova,38.573042099276805,-121.24231965071993,Male,1967,$71645,629,3,155
Redlands,34.06,-117.17,Male,2001,$48561,752,1,47
Bloomington,34.06,-117.39,Male,1941,$18100,682,6,202
Stockton,38.02,-121.3,Male,1970,$29994,769,1,237
Los Angeles,33.97,-118.24,Female,1953,$24947,766,4,25
Mokelumne Hill,38.29,-120.58,Male,1964,$37147,703,3,220
Westminster,33.749536263817305,-118.0089387251724,Female,1961,$39633,777,3,125
Canoga Park,34.22,-118.59,Male,2002,$49084,577,3,84
Belmont,37.5,-122.3,Male,2000,$95045,708,3,234
Richmond,37.92,-122.34,Female,1979,$44585,684,5,1
Bakersfield,35.412299354605345,-119.08211322500598,Female,1950,$44152,700,5,111
Sacramento,38.49,-121.53,Male,1943,$51942,723,4,196
Fontana,34.08,-117.46,Female,1983,$28007,691,4,217
Palos Verdes Peninsula,33.77,-118.34,Male,1961,$119308,789,6,72
Newport Coast,33.6,-117.82,Female,1965,$196784,729,3,225
Roseville,38.78,-121.37,Female,1982,$58637,803,6,12
San Diego,32.72,-117.09,Male,1983,$34330,713,4,191
Richmond,37.92,-122.34,Female,1958,$44583,717,5,97
Manteca,37.78609672333333,-121.23024597099909,Female,1964,$47643,764,8,5
Modesto,37.63,-121.01,Female,1956,$26535,724,5,45
Los Angeles,33.95,-118.29,Female,1976,$25207,685,1,159
West Sacramento,38.66,-121.62,Male,1975,$51454,698,4,102
Riverside,33.93,-117.49,Male,1968,$37963,772,4,38
Palmdale,34.558105187500004,-118.0426643827825,Male,1957,$36911,724,4,134
Huntington Beach,33.72,-118.0,Female,1975,$54981,737,1,154
San Ramon,37.76165349000001,-121.95797639151719,Male,1987,$2365,769,3,58
Murrieta,33.57,-117.14,Female,1969,$49076,715,4,60
Alhambra,34.09,-118.13,Male,1956,$43180,764,5,179
Paradise,39.74,-121.6,Female,1952,$19199,715,3,172
Sacramento,38.55,-121.49,Male,1990,$63583,635,1,209
North Hollywood,34.2,-118.39,Male,1938,$28644,806,7,8
Lincoln,38.88410579180327,-121.28981754653717,Female,1980,$44506,849,3,173
Vacaville,38.350778944190864,-121.96919492860498,Male,1921,$33869,821,7,230
Walnut Creek,37.91,-122.01,Female,1935,$79870,609,2,239
Ventura,34.28,-119.22,Female,1995,$52036,703,3,170
Chula Vista,32.61,-117.03,Female,1968,$34540,793,5,213
Los Angeles,34.002808564634144,-118.3089244951219,Female,1973,$27763,691,1,147
Elk Grove,38.44,-121.3,Male,1967,$52904,680,4,73
Eureka,40.71,-124.11,Male,1983,$36372,684,2,59
El Cajon,32.79,-116.96,Female,1996,$42711,717,1,177
San Francisco,37.75041612142856,-122.45131667789397,Male,1948,$65055,736,6,135
Fair Oaks,38.65,-121.25,Female,1996,$56168,703,3,91
Big Bear Lake,34.23,-116.86,Female,1973,$31632,832,3,2
San Francisco,37.76729350130233,-122.44992020455557,Male,1976,$109687,675,1,235
Lynwood,33.92,-118.2,Male,1987,$27795,701,4,136
Roseville,38.76,-121.28,Male,1978,$51943,794,3,28
Mira Loma,33.99,-117.53,Female,1967,$40470,691,5,227
Anaheim,33.82,-117.91,Female,1973,$33137,706,2,229
Long Beach,33.82,-118.11,Male,1951,$50184,732,4,42
Sunnyvale,37.35877816120319,-122.03976377224737,Female,1960,$92785,786,6,208
Daly City,37.687359905080704,-122.4598974036048,Female,1975,$48430,716,2,83
Bakersfield,35.392701920187534,-118.92383369881702,Male,1988,$38788,716,1,51
Oceanside,33.27,-117.28,Female,1932,$33279,778,6,69
El Cajon,32.84,-116.88,Female,1967,$42152,751,1,133
La Habra,33.94,-117.95,Female,1973,$48406,683,3,176
San Rafael,37.97,-122.5,Male,1965,$62837,850,3,199
Perris,33.78,-117.33,Male,2001,$29909,664,2,98
San Diego,32.88,-117.13,Female,2000,$55854,782,1,197
Los Angeles,34.02,-118.28,Female,1991,$26513,604,1,190
Oxnard,34.14,-119.1,Male,1995,$28703,560,1,127
San Diego,32.96,-117.12,Male,1953,$74059,744,4,117
Sylmar,34.32,-118.38,Male,2002,$39778,702,1,185
Pomona,34.06795626662198,-117.77736326594166,Male,1991,$32676,641,1,94
San Diego,32.946257585085654,-117.21190375505337,Female,1978,$553,719,3,210
Chula Vista,32.63,-117.05,Female,1945,$29130,720,5,96
Fontana,34.08,-117.46,Female,1995,$28011,720,4,61
Inglewood,33.97,-118.35,Male,1960,$28245,669,1,106
Alhambra,34.07,-118.14,Male,1962,$40900,678,3,129
Fresno,36.6,-119.75,Male,1965,$26696,683,5,3
Citrus Heights,38.69,-121.31,Male,1976,$40220,718,3,153
Los Angeles,34.02,-118.15,Female,2000,$27494,724,1,49
Piedmont,37.77,-122.21,Female,1969,$53810,637,1,162
Torrance,33.84,-118.35,Female,1931,$68010,704,7,215
San Jose,37.3,-121.8,Male,1952,$31287,728,4,110
Los Angeles,34.06,-118.35,Female,1994,$83104,714,5,146
Portola Valley,37.37,-122.21,Male,2002,$216740,700,2,224
Fontana,34.08,-117.46,Male,2001,$28006,703,2,0
Los Angeles,34.0,-118.28,Male,1964,$23103,681,3,19
Elk Grove,38.44,-121.3,Female,1958,$52908,709,4,85
San Mateo,37.55,-122.26,Male,1950,$96901,701,5,63
Inglewood,33.95,-118.36,Male,2000,$32550,746,6,7
San Diego,32.79,-117.25,Male,2001,$56579,705,2,187
Glendora,34.14,-117.85,Female,1998,$64630,751,2,130
Perris,33.83,-117.2,Male,1972,$32847,785,3,99
Orange,33.81,-117.79,Female,1996,$58893,666,3,157
Camp Pendleton,33.29,-117.3,Female,2001,$31644,480,1,207
Oceanside,33.22084304926946,-117.35583825856357,Male,1970,$34449,686,3,22
Compton,33.87,-118.21,Male,1984,$26201,655,1,113
San Diego,32.73,-117.08,Female,1957,$28147,756,7,223
San Diego,32.85,-117.2,Male,1940,$53222,640,1,107
Fresno,36.75,-119.67,Male,1952,$28357,628,2,74
San Ramon,37.76165349000001,-121.95797639151719,Male,1947,$2422,632,2,156
Los Angeles,33.94,-118.24,Male,1963,$23231,726,3,158
Mira Loma,33.99,-117.53,Female,1940,$15470,789,7,27
Pomona,34.06795626662198,-117.77736326594166,Male,1961,$32678,693,3,108
Lakeside,32.9,-116.89,Female,1985,$46361,743,2,24
Chula Vista,32.61,-117.03,Male,1984,$34542,697,4,101
Bakersfield,35.15,-119.06,Female,2001,$41717,718,5,50
Petaluma,38.22,-122.55,Male,1989,$54537,765,4,222
Los Angeles,34.03041805518497,-118.27978998931056,Male,1963,$26510,696,4,167
Calistoga,38.57813963269231,-122.57542154014384,Male,1985,$43579,795,3,100
Los Angeles,33.96,-118.27,Female,1970,$22583,683,4,39
Torrance,33.86,-118.33,Female,1996,$52815,658,2,66
Moreno Valley,33.92,-117.24,Female,1955,$30747,850,4,79
San Martin,37.1,-121.6,Male,1954,$44137,626,2,171
Garden Grove,33.76,-117.97,Female,1987,$33212,649,1,221
Lynwood,33.92,-118.2,Male,1999,$27801,754,1,40
Valley Center,33.25,-116.98,Male,1960,$46341,686,6,103
Fresno,36.81,-119.75,Male,1995,$36672,739,2,232
Fullerton,33.87865473744485,-117.89864063271406,Female,1983,$52181,727,2,175
Roseville,38.74,-121.25,Female,1984,$59872,752,4,205
Anaheim,33.82,-117.91,Male,1998,$33140,744,1,46
Fresno,36.84121871250001,-119.79451761619804,Male,1937,$26126,697,5,184
La Mirada,33.9,-118.0,Male,1988,$50658,764,2,64
Dinuba,36.52,-119.39,Male,1935,$17016,714,4,169
Rescue,38.72,-121.0,Male,1994,$58435,666,2,152
Camarillo,34.23,-119.07,Male,1975,$56163,671,1,114
Novato,38.1,-122.63,Female,1993,$61850,728,9,228
Fresno,36.81,-119.75,Female,1966,$36672,655,2,62
Culver City,33.99,-118.39,Female,1993,$61104,721,4,206
Ukiah,39.15442231341465,-123.20724665802712,Female,1962,$12044,576,3,41
Garden Grove,33.78,-117.93,Female,1985,$38081,811,4,104
Anaheim,33.81,-117.97,Female,1976,$37371,739,4,56
